TimeStamp,SensorData_Name,SensorData_humidity,SensorData_temperature,SensorData_light,SensorData_barometric_pressure
2025-02-25 00:00:00+00:00,Temp_S_3_in,95.97,0.21,0.0,950.87
2025-02-25 00:00:00+00:00,Temp_N_3_in,97.19,0.08,0.0,951.08
2025-02-25 00:00:00+00:00,Temp_S_1_out,99.99,0.03,0.0,950.18
2025-02-25 00:00:00+00:00,Temp_S_3_out,99.99,0.04,0.0,951.07
2025-02-25 00:03:00+00:00,Temp_N_3_in,97.19,0.05,0.0,951.03
2025-02-25 00:03:00+00:00,Temp_S_3_out,99.99,0.02,0.0,951.04
2025-02-25 00:03:00+00:00,Temp_S_3_in,96.16,0.16,0.0,950.93
2025-02-25 00:06:00+00:00,Temp_N_3_in,96.82,0.02,0.0,951.14
2025-02-25 00:06:00+00:00,Temp_S_3_in,96.16,0.12,0.0,950.82
2025-02-25 00:09:00+00:00,Temp_N_3_in,96.63,0.02,0.0,951.21
2025-02-25 00:09:00+00:00,Temp_S_3_in,95.78,0.13,0.0,950.88
2025-02-25 00:12:00+00:00,Temp_S_3_in,95.59,0.13,0.0,950.93
2025-02-25 00:12:00+00:00,Temp_N_3_in,96.35,0.01,0.0,951.14
2025-02-25 00:15:00+00:00,Temp_S_3_in,95.5,0.1,0.0,950.82
2025-02-25 00:15:00+00:00,Temp_N_3_in,97.67,0.0,0.0,951.06
2025-02-25 00:18:00+00:00,Temp_S_3_in,97.43,0.02,0.0,950.79
2025-02-25 00:18:00+00:00,Temp_N_3_in,97.67,0.0,0.0,951.06
2025-02-25 03:09:00+00:00,Rad_S_1_in,0.0,-2.0,0.0,948.86
2025-02-25 03:12:00+00:00,Rad_S_1_in,0.0,-2.0,0.0,948.86
2025-02-25 04:54:00+00:00,Temp_S_3_in,94.69,0.03,0.0,949.58
2025-02-25 04:57:00+00:00,Temp_S_3_in,94.07,0.05,0.0,949.6
2025-02-25 05:00:00+00:00,Temp_S_3_in,94.07,0.07,0.0,949.63
2025-02-25 05:03:00+00:00,Temp_S_3_in,93.51,0.1,0.0,949.65
2025-02-25 05:03:00+00:00,Temp_S_1_out,99.99,0.0,0.0,949.07
2025-02-25 05:06:00+00:00,Temp_S_3_in,93.51,0.1,0.0,949.62
2025-02-25 05:06:00+00:00,Temp_S_1_out,99.99,0.0,0.0,949.07
2025-02-25 06:21:00+00:00,Temp_S_3_in,92.99,0.03,16.42,949.89
2025-02-25 06:24:00+00:00,Temp_S_3_in,92.66,0.06,19.95,949.97
2025-02-25 06:27:00+00:00,Temp_S_3_in,92.75,0.06,23.82,950.15
2025-02-25 06:30:00+00:00,Temp_S_3_in,92.66,0.09,28.32,950.09
2025-02-25 06:33:00+00:00,Temp_S_3_in,92.47,0.07,32.2,950.15
2025-02-25 06:36:00+00:00,Temp_S_3_in,92.56,0.06,36.4,950.04
2025-02-25 06:39:00+00:00,Temp_S_1_out,99.99,0.0,27.98,949.37
2025-02-25 06:39:00+00:00,Temp_S_3_in,93.32,0.2,41.56,950.04
2025-02-25 06:39:00+00:00,Temp_N_3_in,94.17,0.01,32.02,950.21
2025-02-25 06:42:00+00:00,Temp_S_1_out,99.99,0.06,32.16,949.37
2025-02-25 06:42:00+00:00,Temp_N_3_in,94.07,0.08,36.22,950.21
2025-02-25 06:42:00+00:00,Temp_S_2_out,90.49,0.09,38.96,949.55
2025-02-25 06:42:00+00:00,Temp_S_3_in,92.85,0.28,48.64,950.01
2025-02-25 06:42:00+00:00,Temp_S_3_out,99.99,0.02,43.8,950.03
2025-02-25 06:45:00+00:00,Temp_S_3_in,93.32,0.33,54.12,950.05
2025-02-25 06:45:00+00:00,Temp_S_3_out,99.99,0.13,52.2,950.08
2025-02-25 06:45:00+00:00,Temp_S_1_out,99.99,0.06,36.36,949.37
2025-02-25 06:45:00+00:00,Temp_N_3_in,93.79,0.16,43.12,950.15
2025-02-25 06:45:00+00:00,Temp_S_2_out,90.01,0.21,45.08,949.52
2025-02-25 06:48:00+00:00,Temp_S_3_in,93.6,0.34,56.68,950.05
2025-02-25 06:48:00+00:00,Temp_S_2_out,90.58,0.25,48.32,949.57
2025-02-25 06:48:00+00:00,Temp_S_3_out,99.99,0.16,52.2,950.13
2025-02-25 06:48:00+00:00,Temp_S_1_out,99.99,0.18,38.96,949.47
2025-02-25 06:48:00+00:00,Temp_N_3_in,94.45,0.2,49.24,950.18
2025-02-25 06:51:00+00:00,Temp_S_2_out,90.77,0.27,51.2,949.52
2025-02-25 06:51:00+00:00,Temp_S_3_in,94.26,0.43,59.6,949.88
2025-02-25 06:51:00+00:00,Temp_S_1_out,99.99,0.25,44.44,949.45
2025-02-25 06:51:00+00:00,Temp_N_3_out,88.87,0.23,0.0,950.58
2025-02-25 06:51:00+00:00,Temp_N_3_in,94.64,0.22,51.84,950.08
2025-02-25 06:51:00+00:00,Temp_S_3_out,99.99,0.19,55.4,950.08
2025-02-25 06:54:00+00:00,Temp_N_2_in,92.18,0.5,52.48,950.48
2025-02-25 06:54:00+00:00,Temp_S_2_out,91.24,0.36,53.8,949.46
2025-02-25 06:54:00+00:00,Temp_N_3_in,95.21,0.3,53.76,949.95
